Search keyword,Ad group,Ad group ID,Quality Score,Impr.,Clicks,CTR,Currency code,Cost,Avg. CPC,Impr. (Abs. Top) %,Impr. (Top) %,% Engaged sessions (GA4),Avg. engagement duration per session (seconds) (GA4)
adhs beratung zürich,6. ADHS Beratung & Coaching,161872394580,5,87,8,9.2%,CHF,19.75,2.47,29.07%,84.88%,22.22%,11.11
adhs coach,6. ADHS Beratung & Coaching,161872394580,3,3376,270,8%,CHF,463.34,1.72,32.77%,75.5%,62.89%,44.82
adhs coaching für eltern,6. ADHS Beratung & Coaching,161872394580,5,5,2,40%,CHF,1.75,0.88,20%,80%,40%,27.6
adhs definition kinder,1. ADHS Diagnose und Abklärung,166267251732,--,1,0,0%,CHF,0,0,0%,0%,--,--
ADHS Eltern Coaching,6. ADHS Beratung & Coaching,161872394580,--,9,0,0%,CHF,0,0,37.5%,75%,--,--
adhs erfolgreiche strategien für erwachsene und kinder,3. ADHS Unterstützung/Förderung,167850042184,3,47,0,0%,CHF,0,0,15.15%,54.55%,--,--
adhs erkennen,1. ADHS Diagnose und Abklärung,166267251732,7,2309,169,7.32%,CHF,230.63,1.36,40.58%,81.4%,55.93%,17.57
adhs förderung kind,3. ADHS Unterstützung/Förderung,167850042184,--,28,3,10.71%,CHF,3.92,1.31,38.46%,65.38%,66.67%,37.33
adhs fragebogen kinder,1. ADHS Diagnose und Abklärung,166267251732,--,4,0,0%,CHF,0,0,0%,0%,--,--
adhs fragebogen kinder auswertung,1. ADHS Diagnose und Abklärung,166267251732,--,1,0,0%,CHF,0,0,0%,0%,--,--
adhs fragebogen kinder pdf,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs hilfe eltern,3. ADHS Unterstützung/Förderung,167850042184,--,9,1,11.11%,CHF,2.2,2.2,33.33%,77.78%,--,--
adhs hilfe eltern,6. ADHS Beratung & Coaching,161872394580,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs jugendliche,1. ADHS Diagnose und Abklärung,166267251732,5,159,43,27.04%,CHF,47.76,1.11,67.91%,80.6%,62.5%,33.38
adhs junge erwachsene,7. ADHS Allgemein,160587633826,--,564,48,8.51%,CHF,76.68,1.6,45.22%,84.83%,46.43%,29.82
adhs kind dreht abends durch,4. Verhaltensbeobachtungen,161083923036,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs kind hört nicht,4. Verhaltensbeobachtungen,161083923036,--,16,2,12.5%,CHF,2.95,1.48,35.71%,78.57%,100%,114.5
adhs kind macht familie kaputt,4. Verhaltensbeobachtungen,161083923036,3,12,2,16.67%,CHF,0.89,0.45,33.33%,91.67%,--,--
adhs kind schule,3. ADHS Unterstützung/Förderung,167850042184,--,149,6,4.03%,CHF,10.39,1.73,25.95%,61.83%,100%,32.5
adhs kind stört unterricht,4. Verhaltensbeobachtungen,161083923036,1,59,6,10.17%,CHF,6.49,1.08,14.55%,81.82%,50%,21.5
adhs kinder beruhigen,4. Verhaltensbeobachtungen,161083923036,7,46,6,13.04%,CHF,6.65,1.11,38.1%,76.19%,60%,13.2
adhs kinder schlafprobleme,4. Verhaltensbeobachtungen,161083923036,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs kinder therapie,2. ADHS Therapie,161871724020,--,2,0,0%,CHF,0,0,50%,100%,--,--
adhs kinder therapie ohne medikamente,2. ADHS Therapie,161871724020,3,3,0,0%,CHF,0,0,0%,66.67%,--,--
adhs kindern erklärt,6. ADHS Beratung & Coaching,161872394580,--,76,5,6.58%,CHF,4.89,0.98,39.13%,78.26%,50%,7
adhs kriterien kinder,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs mädchen,7. ADHS Allgemein,160587633826,--,10,0,0%,CHF,0,0,42.86%,85.71%,--,--
adhs mädchen erfahrungen,7. ADHS Allgemein,160587633826,5,1,0,0%,CHF,0,0,0%,0%,--,--
adhs mädchen symptome,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs mädchen test,7. ADHS Allgemein,160587633826,7,171,29,16.96%,CHF,51.43,1.77,55.95%,80.36%,64.71%,13.88
adhs medikamente kinder erfahrungen,2. ADHS Therapie,161871724020,4,7,0,0%,CHF,0,0,42.86%,57.14%,--,--
adhs medikamente pflanzlich kinder,2. ADHS Therapie,161871724020,4,13,1,7.69%,CHF,1.77,1.77,11.11%,44.44%,--,--
adhs pubertät jungen,7. ADHS Allgemein,160587633826,--,2,0,0%,CHF,0,0,0%,50%,--,--
adhs pubertät mädchen,7. ADHS Allgemein,160587633826,3,2,0,0%,CHF,0,0,0%,0%,--,--
adhs schweiz,3. ADHS Unterstützung/Förderung,167850042184,3,1529,134,8.76%,CHF,215.5,1.61,33.26%,63.12%,68.93%,50.41
adhs symptome bei jungen erwachsenen,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs symptome kinder,1. ADHS Diagnose und Abklärung,166267251732,--,1,0,0%,CHF,0,0,0%,100%,--,--
adhs symptome kinder test,1. ADHS Diagnose und Abklärung,166267251732,--,2,0,0%,CHF,0,0,0%,0%,--,--
adhs symptome mädchen,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs test kind arzt,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs test kinder,1. ADHS Diagnose und Abklärung,166267251732,6,798,109,13.66%,CHF,157.38,1.44,41.21%,79.87%,54.24%,19.59
adhs therapie kinder,2. ADHS Therapie,161871724020,--,19,2,10.53%,CHF,3.14,1.57,21.05%,73.68%,100%,75
adhs therapiemöglichkeiten,2. ADHS Therapie,161871724020,--,0,0,0%,CHF,0,0,0%,0%,--,--
adhs und pubertät bei jungen,1. ADHS Diagnose und Abklärung,166267251732,--,3,0,0%,CHF,0,0,0%,0%,--,--
adhs unterstützung,3. ADHS Unterstützung/Förderung,167850042184,5,2767,140,5.06%,CHF,195.38,1.4,32.85%,60.26%,73.91%,43.36
adhs ursachen bei kindern,7. ADHS Allgemein,160587633826,--,1,0,0%,CHF,0,0,0%,0%,--,--
adhs ursachen kinder,7. ADHS Allgemein,160587633826,--,6,0,0%,CHF,0,0,50%,50%,--,--
adhs vergesslichkeit kinder,7. ADHS Allgemein,160587633826,--,1,0,0%,CHF,0,0,0%,100%,--,--
adhs verhaltenstherapie kinder,2. ADHS Therapie,161871724020,7,3,1,33.33%,CHF,1.26,1.26,33.33%,66.67%,100%,324
ads bei kindern,7. ADHS Allgemein,160587633826,--,2940,243,8.27%,CHF,335.52,1.38,36.86%,69.4%,57.38%,23.56
ads bei kindern symptome,1. ADHS Diagnose und Abklärung,166267251732,--,29,1,3.45%,CHF,6.78,6.78,19.05%,61.9%,100%,8
ads erkennen,1. ADHS Diagnose und Abklärung,166267251732,6,17,1,5.88%,CHF,0.61,0.61,28.57%,71.43%,0%,6
ads unterstützung,3. ADHS Unterstützung/Förderung,167850042184,--,3,0,0%,CHF,0,0,100%,100%,--,--
anzeichen adhs kinder,1. ADHS Diagnose und Abklärung,166267251732,--,1,0,0%,CHF,0,0,0%,0%,--,--
app adhs teenager,5. ADHS im Alltag & Apps,161084047596,--,0,0,0%,CHF,0,0,0%,0%,--,--
app für adhs,5. ADHS im Alltag & Apps,161084047596,5,33,2,6.06%,CHF,2.35,1.18,62.5%,75%,33.33%,16.33
arzt für adhs bei kindern,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
bachblüten für adhs kinder,2. ADHS Therapie,161871724020,--,0,0,0%,CHF,0,0,0%,0%,--,--
bachblüten für kinder adhs,2. ADHS Therapie,161871724020,--,17,1,5.88%,CHF,0.76,0.76,0%,76.47%,--,--
blog adhs kind,6. ADHS Beratung & Coaching,161872394580,--,9,1,11.11%,CHF,0.25,0.25,60%,60%,100%,19
einschlafprobleme adhs kind,4. Verhaltensbeobachtungen,161083923036,--,2,0,0%,CHF,0,0,50%,50%,--,--
eltern adhs coaching,6. ADHS Beratung & Coaching,161872394580,--,0,0,0%,CHF,0,0,0%,0%,--,--
elternratgeber adhs,3. ADHS Unterstützung/Förderung,167850042184,5,87,2,2.3%,CHF,1.65,0.83,32.35%,47.06%,100%,47
ernährung für adhs kinder,5. ADHS im Alltag & Apps,161084047596,--,91,11,12.09%,CHF,16.37,1.49,42%,70%,87.5%,17.13
geschenk für adhs kind,7. ADHS Allgemein,160587633826,--,28,0,0%,CHF,0,0,25%,50%,--,--
hab ich adhs test kind,1. ADHS Diagnose und Abklärung,166267251732,--,2,1,50%,CHF,0.45,0.45,50%,100%,100%,36
hat mein kind adhs,1. ADHS Diagnose und Abklärung,166267251732,--,153,6,3.92%,CHF,5.84,0.97,23.91%,70.65%,100%,21
hyperaktives kind,4. Verhaltensbeobachtungen,161083923036,4,324,22,6.79%,CHF,24.29,1.1,28.4%,75.93%,50%,16
hyperaktivität bei kindern,4. Verhaltensbeobachtungen,161083923036,--,8,0,0%,CHF,0,0,57.14%,71.43%,--,--
hyperaktivität bei kindern erkennen,4. Verhaltensbeobachtungen,161083923036,--,45,10,22.22%,CHF,6.06,0.61,31.43%,97.14%,80%,63.6
jugendliche mit adhs,7. ADHS Allgemein,160587633826,5,51,3,5.88%,CHF,5.15,1.72,29.17%,62.5%,100%,10
kind ist schnell wütend,4. Verhaltensbeobachtungen,161083923036,--,761,50,6.57%,CHF,49.87,1,28.28%,77.37%,78.95%,36.24
kind ist unkonzentriert,4. Verhaltensbeobachtungen,161083923036,5,7,0,0%,CHF,0,0,25%,100%,--,--
kind ist zappelphilipp,4. Verhaltensbeobachtungen,161083923036,--,0,0,0%,CHF,0,0,0%,0%,--,--
kind konzentrationsprobleme,4. Verhaltensbeobachtungen,161083923036,--,283,22,7.77%,CHF,22.68,1.03,23.73%,85.17%,72.22%,16.89
kind schulproblem,4. Verhaltensbeobachtungen,161083923036,--,0,0,0%,CHF,0,0,0%,0%,--,--
kind verhalten störung unruhig,4. Verhaltensbeobachtungen,161083923036,--,0,0,0%,CHF,0,0,0%,0%,--,--
leben mit adhs kind,3. ADHS Unterstützung/Förderung,167850042184,6,1934,174,9%,CHF,246.32,1.42,35.47%,64.91%,64.1%,39.62
leichtes adhs bei kindern,7. ADHS Allgemein,160587633826,--,2,0,0%,CHF,0,0,0%,0%,--,--
medikamente adhs kinder,2. ADHS Therapie,161871724020,7,29,0,0%,CHF,0,0,25%,75%,--,--
medikamente bei adhs bei kindern,2. ADHS Therapie,161871724020,--,0,0,0%,CHF,0,0,0%,0%,--,--
medikamente gegen adhs bei kindern,2. ADHS Therapie,161871724020,--,0,0,0%,CHF,0,0,0%,0%,--,--
spiele für adhs kinder,3. ADHS Unterstützung/Förderung,167850042184,--,167,13,7.78%,CHF,15.74,1.21,35.16%,59.38%,50%,16.88
symptome adhs kinder,1. ADHS Diagnose und Abklärung,166267251732,--,493,30,6.09%,CHF,23.23,0.77,39.06%,82.81%,72.73%,18.09
symptome adhs kinder test,1. ADHS Diagnose und Abklärung,166267251732,--,0,0,0%,CHF,0,0,0%,0%,--,--
symptome adhs mädchen,1. ADHS Diagnose und Abklärung,166267251732,--,1,1,100%,CHF,0.39,0.39,0%,0%,0%,0
therapie adhs kinder,2. ADHS Therapie,161871724020,5,240,23,9.58%,CHF,43.39,1.89,35.75%,76.47%,33.33%,12.33
therapie bei ads adhs kindern,2. ADHS Therapie,161871724020,--,1,0,0%,CHF,0,0,0%,100%,--,--
tipps eltern adhs,3. ADHS Unterstützung/Förderung,167850042184,--,1,0,0%,CHF,0,0,0%,100%,--,--
was ist adhs kinder,7. ADHS Allgemein,160587633826,7,171,16,9.36%,CHF,22.16,1.39,54.92%,76.23%,50%,21.1
welche therapie bei adhs kindern,2. ADHS Therapie,161871724020,--,4,0,0%,CHF,0,0,50%,50%,--,--
wie erkläre ich meinem kind adhs,6. ADHS Beratung & Coaching,161872394580,7,35,2,5.71%,CHF,1.06,0.53,0%,50%,50%,6.5
